t,data
0.0,0.244223
0.00039062501,0.093297042
0.00078125001,0.52319956
0.001171875,0.76352125
0.0015625,0.42654389
0.001953125,0.38342762
0.00234375,-0.29686326
0.002734375,-0.72679448
0.003125,-1.3475236
0.0035156251,-1.6653503
0.0039062501,-1.2398677
0.0042968751,-1.1547229
0.0046875001,-0.24488387
0.0050781251,0.15617932
0.0054687501,-0.28564331
0.0058593751,-0.083793938
0.0062500001,-0.25258261
0.0066406251,-0.71058559
0.0070312501,-0.69432336
0.0074218751,-0.78421611
0.0078125001,-0.056807455
0.0082031251,-0.045923021
0.0085937501,0.18019474
0.0089843751,0.47939277
0.0093750001,0.88146847
0.0097656251,0.46120572
0.01015625,0.16759691
0.010546875,0.43521607
0.0109375,0.50574082
0.011328125,0.69914043
0.01171875,0.53504169
0.012109375,1.0316708
0.0125,1.0295078
0.012890625,0.5693208
0.01328125,0.10039051
0.013671875,-0.086099908
0.0140625,-0.13673094
0.014453125,-0.21477714
0.01484375,-0.29782066
0.015234375,-0.24755985
0.015625,0.1866395
0.016015625,-0.074177146
0.01640625,-0.057085037
0.016796875,-0.02790704
0.0171875,-0.19543178
0.017578125,-0.64669752
0.01796875,-1.1562488
0.018359375,-0.98144788
0.01875,-1.0660355
0.019140625,-0.39719415
0.01953125,0.035151534
0.019921875,-0.033047296
0.0203125,0.075396195
0.020703125,0.20152566
0.02109375,0.0091954693
0.021484375,-0.39721677
0.021875,0.082875304
0.022265625,0.66187209
0.02265625,0.51733971
0.023046875,0.42776468
0.0234375,1.0761459
0.023828125,1.0199873
0.02421875,0.49475998
0.024609375,0.37647671
0.025,0.24330857
0.025390625,-0.043323338
0.02578125,-0.39223304
0.026171875,-0.41882533
0.0265625,0.037179008
0.026953125,0.20683196
0.02734375,0.1089181
0.027734375,-0.10547292
0.028125,-0.54998624
0.028515625,-1.1142961
0.02890625,-1.3894086
0.029296875,-1.396137
0.0296875,-1.4356496
0.030078125,-1.1579108
0.03046875,-1.0366236
0.030859375,-0.43540522
0.03125,-0.37023517
0.031640625,0.0055783708
0.03203125,0.11008559
0.032421875,-0.53099835
0.0328125,-1.0092056
0.033203125,-0.81591237
0.033593751,-0.30625242
0.033984376,-0.58051956
0.034375001,0.70189351
0.034765626,1.5655303
0.035156251,0.73455286
0.035546876,0.81182051
0.035937501,0.99125743
0.036328126,0.68165672
0.036718751,0.25429046
0.037109376,0.11709161
0.037500001,0.41524604
0.037890626,-0.21080817
0.038281251,-0.27775776
0.038671876,-0.21131182
0.039062501,0.24813652
0.039453126,0.36790133
0.039843751,-0.38060972
0.040234376,-0.45277518
0.040625001,-0.414217
0.041015626,-1.1075635
0.041406251,-1.5962417
0.041796876,-1.2266035
0.042187501,-1.042889
0.042578126,-1.4720858
0.042968751,-1.5806416
0.043359376,-0.55723
0.043750001,-0.29221755
0.044140626,-0.46332073
0.044531251,-0.17384979
0.044921876,0.050585583
0.045312501,-0.22153929
0.045703126,-0.5995692
0.046093751,-0.18846574
0.046484376,0.17419197
0.046875001,0.27030843
0.047265626,0.30639201
0.047656251,0.70552564
0.048046876,1.0650183
0.048437501,0.93253505
0.048828126,0.75946546
0.049218751,0.76239908
0.049609376,0.29667771
0.050000001,-0.20398027
0.050390626,-0.11497865
0.050781251,0.021763969
0.051171876,0.13611303
0.051562501,0.17536959
0.051953126,0.30531847
0.052343751,0.0032827836
0.052734376,-0.49574536
0.053125001,-0.42594981
0.053515626,-0.76529908
0.053906251,-1.0341587
0.054296876,-0.74029696
0.054687501,-0.80353439
0.055078126,-0.66353887
0.055468751,-0.4152447
0.055859376,-0.057953421
0.056250001,-0.17867197
0.056640626,-0.30425313
0.057031251,-0.21906978
0.057421876,-0.58697683
0.057812501,-0.65975511
0.058203126,-0.69907188
0.058593751,-0.27865642
0.058984376,0.072992973
0.059375001,0.33973491
0.059765626,0.68999326
0.060156251,0.84431446
0.060546876,0.47847006
0.060937501,0.2008726
0.061328126,-0.45083678
0.061718751,-0.18959379
0.062109376,-0.60043907
0.062500001,-0.50681835
0.062890626,-0.29222775
0.063281251,-0.1265569
0.063671876,-0.20618165
0.064062501,-0.75318825
0.064453126,-0.24368382
0.064843751,-0.47013968
0.065234376,-1.3569391
0.065625001,-0.93403137
0.066015626,-1.2828903
0.066406251,-0.85909474
0.066796876,-0.85211575
0.067187501,-0.45827568
0.067578126,0.1145396
0.067968751,-0.41064149
0.068359376,-0.40534377
0.068750001,-0.82872224
0.069140626,-0.42002541
0.069531251,-0.58633804
0.069921876,-0.34100169
0.070312501,-0.016655423
0.070703126,0.96837169
0.071093751,0.31458253
0.071484376,0.95354128
0.071875001,0.6670655
0.072265626,0.43636751
0.072656251,-0.12637457
0.073046876,-0.74466491
0.073437501,-0.18690151
0.073828126,-0.8995167
0.074218751,-0.55411279
0.074609376,-0.083503567
0.075000001,0.052787717
0.075390626,0.18360604
0.075781251,0.25494212
0.076171876,0.27257532
0.076562501,-0.08350563
0.076953126,-0.74236321
0.077343751,-1.0741278
0.077734376,-1.1932037
0.078125001,-1.3025959
0.078515626,-0.96745992
0.078906251,0.24865234
0.079296876,0.1985313
0.079687501,-0.32404277
0.080078126,0.51837534
0.080468751,0.072285406
0.080859376,-0.3967981
0.081250001,0.12975474
0.081640626,0.11533488
0.082031251,0.20600086
0.082421876,-0.21551517
0.082812501,0.20781033
0.083203126,0.57233685
0.083593751,-0.19402027
0.083984376,0.14738667
0.084375001,0.29185075
0.084765626,0.06293723
0.085156251,-0.06392137
0.085546876,-0.14793488
0.085937501,0.013787666
0.086328126,-0.20082894
0.086718751,-0.24512175
0.087109376,0.13708182
0.087500001,-0.25400057
0.087890626,-0.28696817
0.088281251,-0.90850616
0.088671876,-0.92154533
0.089062501,-0.87877977
0.089453126,-0.76873314
0.089843751,-0.61970007
0.090234376,-0.23076814
0.090625001,-0.55634427
0.091015626,-0.23934662
0.091406251,-0.48110747
0.091796876,-0.19293353
0.092187501,-0.35326192
0.092578126,0.022776447
0.092968751,-0.22670889
0.093359376,-0.2634612
0.093750001,-0.18200172
0.094140626,0.070307367
0.094531251,-0.0070551187
0.094921876,0.76230407
0.095312501,0.93793905
0.095703126,0.8193832
0.096093751,0.68751323
0.096484376,0.66151321
0.096875001,0.46306053
0.097265626,0.30766904
0.097656251,-0.038587935
0.098046876,-0.11664782
0.098437501,-0.6122812
0.098828126,-0.19744785
0.099218751,-0.77247083
0.099609376,-0.19360363
0.1,-0.62113947
0.10039063,-0.4257291
0.10078125,-0.75803196
0.10117188,-0.85607243
0.1015625,-0.75704741
0.10195313,-1.0586749
0.10234375,-1.0397651
0.10273438,-1.1307318
0.103125,-0.83951569
0.10351563,-0.93466598
0.10390625,-0.35111272
0.10429688,-0.23756108
0.1046875,0.38935399
0.10507813,0.28102148
0.10546875,0.23052177
0.10585938,0.12290674
0.10625,0.37220332
0.10664063,0.34881055
0.10703125,0.686378
0.10742188,1.1881094
0.1078125,1.3791368
0.10820313,1.0157492
0.10859375,0.88797581
0.10898438,0.73576176
0.109375,0.36006284
0.10976563,-0.05793146
0.11015625,-0.16317362
0.11054688,-0.044309378
0.1109375,-0.12490503
0.11132813,0.25266156
0.11171875,0.04654076
0.11210938,0.26333129
0.1125,-0.56363118
