t,data
0.0,3.7009716
0.00039062501,6.0627975
0.00078125001,4.1763153
0.001171875,3.077281
0.0015625,7.1921511
0.001953125,5.5324197
0.00234375,2.7699749
0.002734375,3.7564182
0.003125,3.7054296
0.0035156251,3.4843116
0.0039062501,1.8474209
0.0042968751,1.249971
0.0046875001,3.2679656
0.0050781251,4.0007401
0.0054687501,3.0216374
0.0058593751,3.607234
0.0062500001,3.2956455
0.0066406251,3.1675026
0.0070312501,2.4925008
0.0074218751,2.4188328
0.0078125001,3.3495741
0.0082031251,2.4625454
0.0085937501,2.8155541
0.0089843751,3.2380452
0.0093750001,4.7075958
0.0097656251,4.9165096
0.01015625,3.4407558
0.010546875,3.8760452
0.0109375,4.5535793
0.011328125,4.4721155
0.01171875,4.9586229
0.012109375,4.5562639
0.0125,5.7954493
0.012890625,6.7337561
0.01328125,6.3843565
0.013671875,6.7506933
0.0140625,6.2442369
0.014453125,6.3139815
0.01484375,6.0427866
0.015234375,4.9925342
0.015625,5.7405505
0.016015625,5.0705442
0.01640625,4.9334373
0.016796875,5.6304469
0.0171875,5.2116866
0.017578125,5.7063274
0.01796875,4.0031338
0.018359375,3.1942251
0.01875,4.3483171
0.019140625,2.8356481
0.01953125,3.2803311
0.019921875,3.4761844
0.0203125,3.3620319
0.020703125,4.4648666
0.02109375,4.2558198
0.021484375,4.283422
0.021875,4.6863103
0.022265625,3.9417949
0.02265625,4.7016916
0.023046875,4.8774199
0.0234375,5.4543886
0.023828125,5.5299778
0.02421875,5.4473114
0.024609375,7.4035969
0.025,7.5939627
0.025390625,6.8246646
0.02578125,7.0288677
0.026171875,6.653831
0.0265625,5.8310299
0.026953125,5.4570274
0.02734375,5.00844
0.027734375,5.66114
0.028125,2.8057315
0.028515625,5.6108952
0.02890625,5.6428752
0.029296875,2.5907028
0.0296875,4.0404224
0.030078125,2.8137774
0.03046875,1.9978923
0.030859375,0.96152139
0.03125,3.8553948
0.031640625,1.8555169
0.03203125,2.6006596
0.032421875,3.6258979
0.0328125,3.639585
0.033203125,3.8046384
0.033593751,1.8968422
0.033984376,2.0598927
0.034375001,2.9837058
0.034765626,4.630239
0.035156251,3.6241431
0.035546876,4.0228992
0.035937501,4.3138123
0.036328126,4.8300571
0.036718751,4.6998558
0.037109376,3.8667564
0.037500001,4.591507
0.037890626,6.7858539
0.038281251,7.0232544
0.038671876,2.4498892
0.039062501,6.2284985
0.039453126,6.9809484
0.039843751,-0.069102876
0.040234376,2.7048397
0.040625001,5.925633
0.041015626,0.6974743
0.041406251,2.1512091
0.041796876,2.1940775
0.042187501,2.5988848
0.042578126,3.6186161
0.042968751,0.76100111
0.043359376,3.4958
0.043750001,4.318614
0.044140626,2.8386145
0.044531251,2.3482356
0.044921876,3.4360056
0.045312501,2.9435697
0.045703126,1.1286662
0.046093751,3.3791108
0.046484376,3.6484423
0.046875001,1.3122728
0.047265626,1.8291478
0.047656251,1.0254824
0.048046876,0.46705386
0.048437501,2.0276523
0.048828126,2.3987374
0.049218751,2.0453358
0.049609376,4.6479998
0.050000001,2.5086858
0.050390626,2.0274091
0.050781251,-1.2216706
0.051171876,4.4504371
0.051562501,1.1787285
0.051953126,-3.2106285
0.052343751,6.974421
0.052734376,2.2585878
0.053125001,2.690577
0.053515626,1.7887907
0.053906251,-1.4766561
0.054296876,-1.0621698
0.054687501,-0.93622637
0.055078126,-2.1862221
0.055468751,0.4689168
0.055859376,-0.34669322
0.056250001,-2.2837994
0.056640626,2.6954968
0.057031251,-2.9683025
0.057421876,-0.69704485
0.057812501,-1.5697405
0.058203126,-1.943049
0.058593751,-2.2154202
0.058984376,-1.8851939
0.059375001,-2.2311659
0.059765626,-1.42748
0.060156251,-2.9117901
0.060546876,-1.8548269
0.060937501,-1.1454496
0.061328126,-1.5408392
0.061718751,-0.51837742
0.062109376,-0.58472514
0.062500001,-1.5288012
0.062890626,-1.8044745
0.063281251,-1.9417585
0.063671876,-3.0514469
0.064062501,-2.2466087
0.064453126,-1.7496397
0.064843751,-3.6872225
0.065234376,-2.1113114
0.065625001,-1.8423266
0.066015626,-3.1009455
0.066406251,-3.345048
0.066796876,0.1527753
0.067187501,-2.5843105
0.067578126,-3.9859126
0.067968751,-2.0535634
0.068359376,-2.6365204
0.068750001,-4.7601571
0.069140626,-3.2337251
0.069531251,-3.6784692
0.069921876,-4.0675874
0.070312501,-3.3043542
0.070703126,-0.69409782
0.071093751,-1.6068156
0.071484376,-1.937325
0.071875001,-1.0581776
0.072265626,-3.1755686
0.072656251,-2.5583897
0.073046876,-3.0581903
0.073437501,-4.0773706
0.073828126,-2.9749007
0.074218751,-2.5488942
0.074609376,-1.7734201
0.075000001,-0.28444257
0.075390626,-2.7968369
0.075781251,-1.8740799
0.076171876,-3.0045125
0.076562501,-4.438231
0.076953126,-4.0074134
0.077343751,-4.5943346
0.077734376,-4.5739751
0.078125001,-3.2405837
0.078515626,-2.9080732
0.078906251,-4.3602691
0.079296876,-1.713841
0.079687501,-1.7710989
0.080078126,-5.439322
0.080468751,-4.44907
0.080859376,-2.3352034
0.081250001,-5.5359983
0.081640626,-6.9412012
0.082031251,-3.5275583
0.082421876,-6.6087866
0.082812501,-3.6873906
0.083203126,-3.9509211
0.083593751,-5.7298746
0.083984376,-3.1289549
0.084375001,-4.2161608
0.084765626,-5.224102
0.085156251,-5.4907541
0.085546876,-6.0248404
0.085937501,-5.1461802
0.086328126,-5.0945692
0.086718751,-5.7029133
0.087109376,-5.106678
0.087500001,-4.6367464
0.087890626,-4.9900522
0.088281251,-5.5355411
0.088671876,-4.7755423
0.089062501,-4.6326971
0.089453126,-6.4070148
0.089843751,-5.7204518
0.090234376,-5.1301699
0.090625001,-5.3933887
0.091015626,-5.6268616
0.091406251,-6.511734
0.091796876,-5.3645258
0.092187501,-5.9208851
0.092578126,-6.0698528
0.092968751,-6.5873575
0.093359376,-6.879982
0.093750001,-6.3534508
0.094140626,-6.535203
0.094531251,-6.3043466
0.094921876,-5.1525593
0.095312501,-5.8308735
0.095703126,-5.9896579
0.096093751,-4.6710005
0.096484376,-5.3956981
0.096875001,-5.3881369
0.097265626,-5.4906578
0.097656251,-5.9162483
0.098046876,-4.4913921
0.098437501,-5.0652933
0.098828126,-5.124958
0.099218751,-4.1456785
0.099609376,-4.6570778
0.1,-4.315753
0.10039063,-4.4720273
0.10078125,-4.5580282
0.10117188,-4.4709368
0.1015625,-4.4085684
0.10195313,-4.913218
0.10234375,-4.593112
0.10273438,-4.1534986
0.103125,-4.8741703
0.10351563,-5.2938433
0.10390625,-4.0784054
0.10429688,-3.2849541
0.1046875,-5.249258
0.10507813,-4.2219901
0.10546875,-4.1965322
0.10585938,-4.3600788
0.10625,-4.1206493
0.10664063,-4.2829061
0.10703125,-3.935554
0.10742188,-3.1981554
0.1078125,-2.7951317
0.10820313,-3.5831661
0.10859375,-2.1046724
0.10898438,-2.168071
0.109375,-3.2679892
0.10976563,-2.404717
0.11015625,-2.0616226
0.11054688,-2.3373318
0.1109375,-3.3741739
0.11132813,-3.0762491
0.11171875,-2.7364612
0.11210938,-1.9201247
0.1125,-2.6619976
0.11289063,-2.6908059
0.11328125,-2.3405905
0.11367188,-2.3273931
0.1140625,-2.9954658
0.11445313,-2.3178289
0.11484375,-2.295342
0.11523438,-3.1578052
0.115625,-1.9253076
0.11601563,-2.737498
0.11640625,-1.8840927
0.11679688,-1.9235706
0.1171875,-3.000773
0.11757813,-2.0926294
0.11796875,-2.2447181
0.11835938,-2.3232677
0.11875,-1.8232861
0.11914063,-2.8222179
0.11953125,-1.5134666
0.11992188,-1.6572553
0.1203125,-1.4337982
0.12070313,-1.3703494
0.12109375,-1.6000371
0.12148438,-0.035790339
0.121875,-0.37131971
0.12226563,-1.0565084
0.12265625,-0.32577038
0.12304688,-0.42541146
0.1234375,-0.31659174
0.12382813,-0.34379321
0.12421875,-0.44111246
0.12460938,0.97962809
0.125,-0.74186224
0.12539063,-0.080075264
0.12578125,1.2435174
0.12617188,-0.38394248
0.1265625,0.55158794
0.12695313,-1.2920103
0.12734375,-1.4086924
0.12773438,-0.85645866
0.128125,-2.3542957
0.12851563,-1.8573692
0.12890625,-2.429368
0.12929688,-2.341058
0.1296875,-1.9576118
0.13007813,-2.4554901
0.13046875,-1.4229302
0.13085938,-2.334558
0.13125,-2.8519399
0.13164063,-0.68929231
0.13203125,-1.203459
0.13242188,-0.38322854
0.1328125,-0.03799095
0.13320313,-0.26663384
0.13359375,1.7770758
0.13398438,1.2467757
0.134375,1.5180712
0.13476563,2.4798224
0.13515625,2.4759874
0.13554688,3.3436346
0.1359375,3.4341612
0.13632813,2.6691332
0.13671875,4.0587058
0.13710938,3.4705381
0.1375,2.9156168
0.13789063,5.0189943
0.13828125,4.2070923
0.13867188,4.424674
0.1390625,3.8038063
0.13945313,3.8806412
0.13984375,4.3370838
0.14023438,3.4283829
0.140625,2.3054743
0.14101563,2.3641148
0.14140625,2.9318972
0.14179688,2.5813591
0.1421875,2.4564962
0.14257813,2.4963384
0.14296875,2.4391656
0.14335938,3.1020288
0.14375,2.6736917
0.14414063,2.5492918
0.14453125,5.9173164
0.14492188,3.8691568
0.1453125,3.326998
0.14570313,4.468709
0.14609375,6.0462985
0.14648438,3.5446007
0.146875,3.3009267
0.14726563,4.6586885
0.14765625,5.5447307
0.14804688,4.4311953
0.1484375,6.4100504
0.14882813,6.6739693
0.14921875,6.4752798
0.14960938,7.2995481
0.15,6.3058739
0.15039063,7.1359482
0.15078125,5.1818066
0.15117188,5.1645012
0.1515625,5.1581068
0.15195313,4.7820349
0.15234375,5.2242208
0.15273438,4.5152149
0.153125,3.8282104
0.15351563,4.1646118
0.15390625,4.0886583
0.15429688,3.5361762
0.1546875,2.3311784
0.15507813,2.2602654
0.15546875,2.39748
0.15585938,2.380137
0.15625,2.0524101
0.15664063,2.6672888
0.15703125,2.5820491
0.15742188,3.3828647
0.1578125,2.5631402
0.15820313,3.1222615
0.15859375,3.8525591
0.15898438,2.4881239
0.159375,3.69136
0.15976563,4.6107845
0.16015625,4.7363911
0.16054688,5.875761
0.1609375,5.3839755
0.16132813,6.1117172
0.16171875,7.1656308
0.16210938,6.1890278
0.1625,5.9354105
0.16289063,6.2588105
0.16328125,5.7023706
0.16367188,5.624321
0.1640625,4.6028919
0.16445313,5.2858691
0.16484375,5.6008301
0.16523438,4.26825
0.165625,5.1316485
0.16601563,4.9403725
0.16640625,5.1414194
0.16679688,3.9440398
0.1671875,3.4035606
0.16757813,4.8644805
0.16796875,3.8484235
0.16835938,3.5902364
0.16875,4.448307
0.16914063,4.4215269
0.16953125,5.475987
0.16992188,3.8926034
0.1703125,5.1999617
0.17070313,5.1899738
0.17109375,5.3280249
0.17148438,6.1113009
0.171875,5.4689646
0.17226563,5.4943676
0.17265625,5.5142102
0.17304688,5.6129274
0.1734375,5.4374323
0.17382813,6.7304907
0.17421875,5.6248198
0.17460938,6.1737585
0.175,5.6968036
0.17539063,5.5653706
0.17578125,5.7349629
0.17617188,3.4762306
0.1765625,2.5379465
0.17695313,4.3303976
0.17734375,4.2840176
0.17773438,3.281136
0.178125,2.8316202
0.17851563,2.1537879
0.17890625,4.1145906
0.17929688,1.4397109
0.1796875,2.5545325
0.18007813,3.0387392
0.18046875,3.3808494
0.18085938,6.1674223
0.18125,0.56106436
0.18164063,4.3120546
0.18203125,5.7170992
0.18242188,1.2737765
