t,data
0.0,-0.14524889
0.00039062501,-0.45027441
0.00078125001,-0.49822256
0.001171875,-0.26111788
0.0015625,-0.011383679
0.001953125,0.30709636
0.00234375,0.54112428
0.002734375,-0.16585225
0.003125,-0.070782073
0.0035156251,-0.29413056
0.0039062501,-1.1767967
0.0042968751,-1.1629155
0.0046875001,-1.1277552
0.0050781251,-0.69245291
0.0054687501,-0.68437052
0.0058593751,-0.61426795
0.0062500001,-0.093918577
0.0066406251,-0.46864489
0.0070312501,-0.66119206
0.0074218751,-0.51130432
0.0078125001,-0.69346452
0.0082031251,-0.70566362
0.0085937501,-0.67880976
0.0089843751,-0.58186746
0.0093750001,-0.57866293
0.0097656251,-0.64068413
0.01015625,-0.23491684
0.010546875,-0.11581589
0.0109375,-0.20596866
0.011328125,-0.16248003
0.01171875,0.33362123
0.012109375,0.14820054
0.0125,0.0020259549
0.012890625,0.13496616
0.01328125,0.11300857
0.013671875,-0.55917794
0.0140625,-0.79312336
0.014453125,-0.48255855
0.01484375,-0.30271071
0.015234375,-0.52131498
0.015625,-0.11165876
0.016015625,0.38655329
0.01640625,0.2574541
0.016796875,0.34805071
0.0171875,-0.15612519
0.017578125,-0.16158164
0.01796875,-0.46500787
0.018359375,-0.98140478
0.01875,-0.40716067
0.019140625,-0.08100725
0.01953125,0.34699672
0.019921875,0.77261555
0.0203125,0.98560673
0.020703125,1.1657587
0.02109375,0.68823981
0.021484375,0.16494711
0.021875,-0.24947858
0.022265625,-0.31012738
0.02265625,-0.64669669
0.023046875,-0.38968715
0.0234375,0.45417827
0.023828125,0.66483247
0.02421875,0.96261626
0.024609375,1.1409378
0.025,1.0342059
0.025390625,0.64736903
0.02578125,-0.40176427
0.026171875,-0.6597181
0.0265625,-0.75198412
0.026953125,-1.1916392
0.02734375,-0.80546176
0.027734375,-0.27479848
0.028125,0.51784444
0.028515625,0.38466606
0.02890625,-0.11013693
0.029296875,0.14245239
0.0296875,-0.53266871
0.030078125,-1.2835636
0.03046875,-1.1338785
0.030859375,-0.90153491
0.03125,-0.46339834
0.031640625,-0.52869451
0.03203125,0.26817289
0.032421875,0.37118012
0.0328125,0.20008677
0.033203125,0.31498775
0.033593751,0.18754163
0.033984376,0.17938837
0.034375001,-0.18282691
0.034765626,0.052097932
0.035156251,0.12593368
0.035546876,-0.16902739
0.035937501,0.029537328
0.036328126,0.24647093
0.036718751,-0.050867394
0.037109376,-0.61280477
0.037500001,-0.42068228
0.037890626,-0.58990991
0.038281251,-1.1262188
0.038671876,-1.1615236
0.039062501,-1.1328597
0.039453126,-1.3244369
0.039843751,-2.0447347
0.040234376,-2.0362449
0.040625001,-1.7652382
0.041015626,-2.2269347
0.041406251,-2.2376976
0.041796876,-1.3789434
0.042187501,-1.1245334
0.042578126,-1.0818782
0.042968751,-0.43731198
0.043359376,-0.2818844
0.043750001,-0.50166786
0.044140626,-0.81199461
0.044531251,-0.75817537
0.044921876,-0.29279876
0.045312501,-0.22203735
0.045703126,0.11071901
0.046093751,1.1803379
0.046484376,1.5183072
0.046875001,1.4344898
0.047265626,1.6555035
0.047656251,1.6919886
0.048046876,0.97290403
0.048437501,0.058997311
0.048828126,-0.27814084
0.049218751,0.090602994
0.049609376,-0.11378405
0.050000001,-0.08677116
0.050390626,0.74835008
0.050781251,1.0757067
0.051171876,0.52996552
0.051562501,0.29179943
0.051953126,0.27633172
0.052343751,-0.62332082
0.052734376,-1.7393774
0.053125001,-1.7606025
0.053515626,-1.2478278
0.053906251,-1.1240757
0.054296876,-0.37882024
0.054687501,0.15493198
0.055078126,0.33662224
0.055468751,0.05195263
0.055859376,0.11132902
0.056250001,-0.31314892
0.056640626,-0.66336405
0.057031251,-0.75143361
0.057421876,-0.65394026
0.057812501,-0.074190095
0.058203126,0.54715949
0.058593751,0.78440136
0.058984376,1.2142296
0.059375001,1.2317469
0.059765626,1.0117664
0.060156251,0.57820255
0.060546876,0.2443758
0.060937501,-0.53281802
0.061328126,-0.68680954
0.061718751,-0.7220518
0.062109376,-0.64102978
0.062500001,-0.14466377
0.062890626,-0.25338578
0.063281251,-0.65982997
0.063671876,-0.92217481
0.064062501,-1.294494
0.064453126,-1.9161589
0.064843751,-2.3853769
0.065234376,-2.4560485
0.065625001,-2.1489851
0.066015626,-2.3938079
0.066406251,-2.1248384
0.066796876,-1.5522834
0.067187501,-1.793449
0.067578126,-2.2456286
0.067968751,-1.7948074
0.068359376,-1.6975141
0.068750001,-1.7695005
0.069140626,-1.6931125
0.069531251,-1.1689529
0.069921876,-0.53684318
0.070312501,-0.50869507
0.070703126,0.10455871
0.071093751,0.59043241
0.071484376,0.49044698
0.071875001,0.13322857
0.072265626,0.58313519
0.072656251,0.55135655
0.073046876,0.37891948
0.073437501,0.32323518
0.073828126,0.37787047
0.074218751,0.28365433
0.074609376,0.067392461
0.075000001,-0.016107559
0.075390626,-0.11669671
0.075781251,-0.39057899
0.076171876,-0.5042327
0.076562501,-0.8467707
0.076953126,-0.86362863
0.077343751,-0.73834848
0.077734376,-1.1490736
0.078125001,-1.141572
0.078515626,-1.168813
0.078906251,-1.1484178
0.079296876,-1.2285306
0.079687501,-1.1285143
0.080078126,-0.64711273
0.080468751,-0.61326385
0.080859376,-0.6971125
0.081250001,-0.42491648
0.081640626,-0.046073109
0.082031251,-0.313187
0.082421876,-0.17850587
0.082812501,0.26673585
0.083203126,0.55271137
0.083593751,0.22894008
0.083984376,0.67033505
0.084375001,1.0060632
0.084765626,0.77155721
0.085156251,0.48302934
0.085546876,0.54892802
0.085937501,0.8644107
0.086328126,0.33235452
0.086718751,-0.07304094
0.087109376,0.20027965
0.087500001,-0.54328007
0.087890626,-1.3735973
0.088281251,-1.0521375
0.088671876,-1.4526103
0.089062501,-0.95406276
0.089453126,-1.3850434
0.089843751,-0.97973007
0.090234376,-0.84157884
0.090625001,-1.0238889
0.091015626,-1.5691838
0.091406251,-1.6012371
0.091796876,-2.0413079
0.092187501,-2.5111656
0.092578126,-2.6083012
0.092968751,-1.8925828
0.093359376,-1.3380575
0.093750001,-0.78773189
0.094140626,-0.44602028
0.094531251,0.02113577
0.094921876,0.20671895
0.095312501,-0.46898505
0.095703126,-0.59835231
0.096093751,-0.62939554
0.096484376,-0.98513603
0.096875001,-0.78964365
0.097265626,-0.454804
0.097656251,0.3299509
0.098046876,0.45669922
0.098437501,0.35173935
0.098828126,0.45460373
0.099218751,-0.22158667
0.099609376,-0.88862288
0.1,-1.4832466
0.10039063,-2.2805119
0.10078125,-2.1731305
0.10117188,-2.2470458
0.1015625,-1.6846745
0.10195313,-1.2313685
0.10234375,-0.7834022
0.10273438,-0.54069299
0.103125,-1.3397007
0.10351563,-1.6429152
0.10390625,-1.6678323
0.10429688,-1.9087205
0.1046875,-2.1914208
0.10507813,-1.3814929
0.10546875,-0.90218949
0.10585938,-0.38314652
0.10625,-0.27755934
0.10664063,0.8104043
0.10703125,0.65208501
0.10742188,0.4451533
0.1078125,0.53643978
0.10820313,0.73499954
0.10859375,0.53888667
0.10898438,0.0407729
0.109375,0.52950025
0.10976563,0.66487277
0.11015625,0.51841259
0.11054688,0.64697671
0.1109375,1.2257254
0.11132813,0.5355894
0.11171875,-0.078208327
0.11210938,-0.51754534
0.1125,-0.56363428
0.11289063,-0.20533928
0.11328125,-1.1981966
0.11367188,-2.0192165
0.1140625,1.4535785
0.11445313,-0.79212171
0.11484375,-2.2264504
0.11523438,-0.47622931
0.115625,0.44788754
0.11601563,-2.1724687
0.11640625,-0.90044081
0.11679688,-1.4704721
0.1171875,0.64989805
0.11757813,-0.48125294
0.11796875,-2.9345906
0.11835938,0.75308037
0.11875,0.11729027
0.11914063,-1.6076643
0.11953125,0.27918726
0.11992188,-0.82035506
0.1203125,0.72582805
0.12070313,-1.1441687
0.12109375,-1.0612631
0.12148438,1.052038
0.121875,-0.37902617
0.12226563,0.52112716
0.12265625,-0.21718562
0.12304688,-0.57277834
0.1234375,-0.42789757
0.12382813,-2.2524257
0.12421875,-1.1672003
0.12460938,-1.3265963
0.125,-1.7670593
0.12539063,-0.045554023
0.12578125,-0.58212602
0.12617188,-0.71716785
0.1265625,-0.55200952
0.12695313,-1.2494293
0.12734375,-2.0685599
0.12773438,-2.2380834
0.128125,-2.2132487
0.12851563,-1.6602781
0.12890625,-1.4756683
0.12929688,-0.87773526
0.1296875,0.059775166
0.13007813,0.44777879
0.13046875,0.29047224
0.13085938,-0.16429943
0.13125,-0.51938319
0.13164063,-0.99017715
0.13203125,-1.5232881
0.13242188,-0.61666095
0.1328125,-0.73287362
0.13320313,0.91592312
0.13359375,1.8072481
0.13398438,0.68812943
0.134375,1.1153915
