t,data
0.0,1.96183
0.00039062501,2.9341264
0.00078125001,0.3736898
0.001171875,3.9058762
0.0015625,0.78314924
0.001953125,1.4058764
0.00234375,3.320415
0.002734375,2.8486824
0.003125,3.089571
0.0035156251,4.0044055
0.0039062501,3.1691995
0.0042968751,3.9781084
0.0046875001,1.7051821
0.0050781251,3.2203774
0.0054687501,5.2204032
0.0058593751,1.6662509
0.0062500001,4.6740608
0.0066406251,2.1426578
0.0070312501,2.9897084
0.0074218751,2.1824689
0.0078125001,2.4827662
0.0082031251,2.5170729
0.0085937501,0.18479782
0.0089843751,1.026527
0.0093750001,1.956579
0.0097656251,0.39440095
0.01015625,0.88933009
0.010546875,-1.1950688
0.0109375,-0.60656512
0.011328125,-0.48895451
0.01171875,-2.9774883
0.012109375,0.41927284
0.0125,-0.24501997
0.012890625,-0.2024063
0.01328125,-0.68865025
0.013671875,-1.2781165
0.0140625,-0.079737902
0.014453125,-0.25122169
0.01484375,-2.2035716
0.015234375,-0.48687947
0.015625,-0.62541425
0.016015625,1.1169536
0.01640625,0.73578882
0.016796875,0.054424144
0.0171875,2.6308904
0.017578125,0.4052338
0.01796875,0.25225586
0.018359375,1.4649403
0.01875,1.6010069
0.019140625,1.8542769
0.01953125,0.76915312
0.019921875,-0.60591614
0.0203125,0.80608797
0.020703125,-0.52350318
0.02109375,-0.81405449
0.021484375,0.49902475
0.021875,-0.40874699
0.022265625,-0.76794809
0.02265625,0.13216785
0.023046875,-2.3758917
0.0234375,-0.76166159
0.023828125,-1.2290007
0.02421875,-2.1201882
0.024609375,-1.9080734
0.025,-1.1517569
0.025390625,-2.3722019
0.02578125,-0.80480933
0.026171875,-1.1397123
0.0265625,-1.2478391
0.026953125,0.17765698
0.02734375,-1.3236041
0.027734375,-0.48106888
0.028125,-0.0032013059
0.028515625,-1.5512037
0.02890625,-0.63298941
0.029296875,-0.24574839
0.0296875,-1.2162009
0.030078125,0.6821053
0.03046875,-1.3123028
0.030859375,-0.88764805
0.03125,-0.5961929
0.031640625,-2.0803797
0.03203125,-0.71207929
0.032421875,-2.9708531
0.0328125,-2.5748253
0.033203125,-2.9800339
0.033593751,-4.6018724
0.033984376,-2.7088089
0.034375001,-2.917026
0.034765626,-1.7256939
0.035156251,-2.4539962
0.035546876,-2.3104548
0.035937501,-3.5381691
0.036328126,-3.2017479
0.036718751,-3.3879654
0.037109376,-4.9254122
0.037500001,-3.5327222
0.037890626,-2.878057
0.038281251,-3.5707278
0.038671876,-2.285511
0.039062501,-1.4898157
0.039453126,-1.277415
0.039843751,-2.2076674
0.040234376,-3.7165656
0.040625001,-1.2015722
0.041015626,-2.1809769
0.041406251,-4.3846478
0.041796876,-2.0537667
0.042187501,-1.8498935
0.042578126,-3.8852229
0.042968751,-2.3913534
0.043359376,-2.6978388
0.043750001,-1.7591186
0.044140626,-2.7959323
0.044531251,-3.2922297
0.044921876,-3.714196
0.045312501,-4.13099
0.045703126,-5.1778841
0.046093751,-4.4905167
0.046484376,-4.9131155
0.046875001,-3.8684015
0.047265626,-2.4976134
0.047656251,-4.3458681
0.048046876,-3.5980546
0.048437501,-2.9540358
0.048828126,-3.9255624
0.049218751,-5.8060904
0.049609376,-4.0538836
0.050000001,-4.2871222
0.050390626,-4.1050701
0.050781251,-2.6346016
0.051171876,-2.2315927
0.051562501,-1.9184924
0.051953126,-3.2044754
0.052343751,-2.5253558
0.052734376,-1.6895375
0.053125001,-3.3083878
0.053515626,-3.1046267
0.053906251,-3.3400064
0.054296876,-3.5039594
0.054687501,-4.8066387
0.055078126,-2.6890426
0.055468751,-2.5547674
0.055859376,-3.7211688
0.056250001,-3.2004905
0.056640626,-3.4484978
0.057031251,-4.4182711
0.057421876,-4.336648
0.057812501,-4.5202532
0.058203126,-4.3467216
0.058593751,-4.2875423
0.058984376,-5.0522189
0.059375001,-3.5736847
0.059765626,-3.2318573
0.060156251,-4.3660579
0.060546876,-3.6406331
0.060937501,-4.2166719
0.061328126,-4.2218781
0.061718751,-3.6532552
0.062109376,-4.0498714
0.062500001,-3.7780666
0.062890626,-3.2269471
0.063281251,-3.9352546
0.063671876,-3.7251339
0.064062501,-2.2201176
0.064453126,-3.9724119
0.064843751,-3.1073396
0.065234376,-3.9193773
0.065625001,-4.6172142
0.066015626,-3.3851852
0.066406251,-4.2474689
0.066796876,-4.2840939
0.067187501,-3.5555055
0.067578126,-4.0541124
0.067968751,-4.5385518
0.068359376,-3.4112954
0.068750001,-4.3911839
0.069140626,-4.3210649
0.069531251,-3.8017752
0.069921876,-4.0302663
0.070312501,-3.463825
0.070703126,-3.271451
0.071093751,-3.8261106
0.071484376,-2.9740276
0.071875001,-3.2940693
