t,data
0.0,3.8453546
0.00039062501,1.7144743
0.00078125001,2.6577525
0.001171875,1.9863378
0.0015625,1.2496979
0.001953125,1.7882316
0.00234375,1.4875278
0.002734375,0.89465487
0.003125,-0.53767091
0.0035156251,1.7317848
0.0039062501,1.1204109
0.0042968751,-0.022763329
0.0046875001,2.0181236
0.0050781251,0.052586362
0.0054687501,1.1682901
0.0058593751,0.99511278
0.0062500001,0.72541881
0.0066406251,0.80627316
0.0070312501,1.6253291
0.0074218751,1.1710296
0.0078125001,2.8326659
0.0082031251,1.5063272
0.0085937501,3.5250287
0.0089843751,2.893672
0.0093750001,2.3504176
0.0097656251,3.0094304
0.01015625,1.841166
0.010546875,0.95853907
0.0109375,1.2680572
0.011328125,0.96613538
0.01171875,1.7384057
0.012109375,1.9917345
0.0125,1.0212514
0.012890625,1.0274074
0.01328125,-0.60626853
0.013671875,-1.152843
0.0140625,-1.8581222
0.014453125,-2.7141619
0.01484375,-0.23242894
0.015234375,-0.4392657
0.015625,-3.045053
0.016015625,-0.9270066
0.01640625,-2.6544256
0.016796875,-4.6919098
0.0171875,-3.5526705
0.017578125,-2.3966727
0.01796875,-1.9929852
0.018359375,-2.5496092
0.01875,-1.9412578
0.019140625,-2.1365786
0.01953125,-1.8106742
0.019921875,-4.1930122
0.0203125,-2.2162156
0.020703125,-1.0822217
0.02109375,-2.8003163
0.021484375,-0.24432352
0.021875,-0.10396299
0.022265625,-1.6316924
0.02265625,-0.77291691
0.023046875,0.42065728
0.0234375,-0.37362847
0.023828125,-1.0008612
0.02421875,-0.32379919
0.024609375,-1.457368
0.025,-1.5448728
0.025390625,-2.6966233
0.02578125,-1.7990699
0.026171875,-2.2791088
0.0265625,-1.3773768
0.026953125,-1.6786878
0.02734375,-3.0314655
0.027734375,-2.9889438
0.028125,-3.3515863
0.028515625,-5.2302804
0.02890625,-5.7516279
0.029296875,-4.5204597
0.0296875,-4.6014142
0.030078125,-4.4710121
0.03046875,-5.1471281
0.030859375,-2.7462182
0.03125,-3.5400109
0.031640625,-3.8533239
0.03203125,-3.9379745
0.032421875,-3.3673797
0.0328125,-3.2307281
0.033203125,-4.3315325
0.033593751,-3.7241049
0.033984376,-1.5527053
0.034375001,-2.9418526
0.034765626,-2.4500721
0.035156251,-1.1556809
0.035546876,-2.5797286
0.035937501,-2.9899836
0.036328126,-4.4459372
0.036718751,-3.4635797
0.037109376,-3.9224601
0.037500001,-4.894093
0.037890626,-3.5798783
0.038281251,-5.2483034
0.038671876,-4.9729652
0.039062501,-5.1811948
0.039453126,-6.1272225
0.039843751,-5.3213701
0.040234376,-6.6089916
0.040625001,-6.1987381
0.041015626,-5.9880691
0.041406251,-5.977766
0.041796876,-6.1428599
0.042187501,-6.2221889
0.042578126,-5.1079102
0.042968751,-4.9518948
0.043359376,-4.7606058
0.043750001,-4.1118975
0.044140626,-4.7655368
0.044531251,-3.5579815
0.044921876,-4.0314202
0.045312501,-4.1450653
0.045703126,-2.9579732
0.046093751,-4.3146868
0.046484376,-3.3310843
0.046875001,-2.0269136
0.047265626,-3.7954798
0.047656251,-3.8360267
0.048046876,-3.7344365
0.048437501,-3.3305492
0.048828126,-4.508347
0.049218751,-4.865303
0.049609376,-4.6364336
0.050000001,-5.4010744
0.050390626,-5.7413712
0.050781251,-5.9023314
0.051171876,-5.1444063
0.051562501,-5.5133448
0.051953126,-5.7874756
0.052343751,-4.6950026
0.052734376,-5.1714849
0.053125001,-5.2585773
0.053515626,-6.0671482
0.053906251,-6.0130014
0.054296876,-5.193121
0.054687501,-5.781827
0.055078126,-4.7247972
0.055468751,-4.1179905
0.055859376,-4.0156078
0.056250001,-3.2721577
0.056640626,-3.5234718
0.057031251,-3.2155089
0.057421876,-3.2875917
0.057812501,-4.0404749
0.058203126,-3.5185928
0.058593751,-3.62924
0.058984376,-3.2868562
0.059375001,-3.7131224
0.059765626,-2.5887792
0.060156251,-3.1223602
0.060546876,-2.6622646
0.060937501,-3.2524326
0.061328126,-3.8087802
0.061718751,-4.0840368
0.062109376,-5.2782655
0.062500001,-4.4580669
0.062890626,-4.3465252
0.063281251,-4.32232
0.063671876,-3.770366
0.064062501,-3.1312289
0.064453126,-3.4038215
0.064843751,-4.0228214
0.065234376,-2.9370027
0.065625001,-4.3453112
0.066015626,-4.2988262
0.066406251,-3.7013021
0.066796876,-3.3257766
0.067187501,-1.9094937
0.067578126,-2.6949053
0.067968751,-2.1679335
0.068359376,-0.20736332
0.068750001,-1.3106651
0.069140626,-1.4739889
0.069531251,-0.92377937
0.069921876,-1.4018965
0.070312501,-1.279388
0.070703126,-1.493185
0.071093751,-1.6083655
0.071484376,-0.82576936
0.071875001,-1.9628867
0.072265626,-1.0601772
0.072656251,-1.0365248
0.073046876,-1.8554604
0.073437501,-1.8295019
0.073828126,-2.8899264
0.074218751,-2.1767378
0.074609376,-2.3594227
0.075000001,-2.809175
0.075390626,-2.5995955
0.075781251,-1.3483148
0.076171876,-1.7134547
0.076562501,-2.0381186
0.076953126,-1.3956599
0.077343751,-1.3881
0.077734376,-1.139226
0.078125001,-1.2051051
0.078515626,-0.31387788
0.078906251,0.5037989
0.079296876,0.45901918
0.079687501,1.0172579
0.080078126,1.6656425
0.080468751,1.9707936
0.080859376,1.5158799
0.081250001,1.1901991
0.081640626,1.9435601
0.082031251,1.5899925
0.082421876,1.1391089
0.082812501,1.02581
0.083203126,1.2361548
0.083593751,0.73302853
0.083984376,0.56426954
0.084375001,0.67567098
0.084765626,0.42457849
0.085156251,0.6736989
0.085546876,-0.19161174
0.085937501,0.82947135
0.086328126,0.091037199
0.086718751,0.050023939
0.087109376,0.71276844
0.087500001,0.21879439
0.087890626,0.99097133
0.088281251,0.63228059
0.088671876,1.4078691
0.089062501,1.6138277
0.089453126,1.4708602
0.089843751,2.147049
0.090234376,2.4392068
0.090625001,2.9713721
0.091015626,2.6557045
0.091406251,3.229326
0.091796876,3.2520101
0.092187501,3.2860365
0.092578126,3.2644897
0.092968751,3.5933905
0.093359376,4.0498056
0.093750001,3.5392799
0.094140626,3.7679155
0.094531251,3.8760247
0.094921876,3.124918
0.095312501,2.9663811
0.095703126,3.1019025
0.096093751,3.5148883
0.096484376,3.584362
0.096875001,3.1074286
0.097265626,4.0112524
0.097656251,4.059309
0.098046876,3.6786218
0.098437501,3.943959
0.098828126,3.9847746
0.099218751,4.3202934
0.099609376,4.1742907
0.1,4.3116884
0.10039063,5.2334471
0.10078125,4.2102966
0.10117188,4.1915188
0.1015625,4.4528093
0.10195313,4.1830397
0.10234375,4.3488464
0.10273438,3.3843551
0.103125,3.6122704
0.10351563,3.6302783
0.10390625,2.8895631
0.10429688,2.9936991
0.1046875,2.7072537
0.10507813,1.889616
0.10546875,3.1121163
0.10585938,2.4970388
0.10625,2.8082771
0.10664063,2.7399259
0.10703125,2.9739709
0.10742188,3.9797964
0.1078125,2.4658966
0.10820313,4.1580906
0.10859375,3.8311925
0.10898438,3.6822124
0.109375,5.2398167
0.10976563,4.6876426
0.11015625,5.4702301
0.11054688,5.6396961
0.1109375,5.2132316
0.11132813,6.3626719
0.11171875,6.3472052
0.11210938,6.5575867
0.1125,6.5621262
0.11289063,6.8647747
0.11328125,6.9378252
0.11367188,6.4240007
0.1140625,6.2652359
0.11445313,6.0197678
0.11484375,6.2836075
0.11523438,5.7243638
0.115625,5.2287169
0.11601563,4.9152813
0.11640625,5.0437326
0.11679688,3.8702917
0.1171875,4.2693243
0.11757813,3.9343321
0.11796875,3.5086627
0.11835938,3.8561687
0.11875,2.589294
0.11914063,3.9724014
0.11953125,2.9799566
0.11992188,3.8530693
0.1203125,3.4740515
0.12070313,4.2328548
0.12109375,5.0961103
0.12148438,5.2066894
0.121875,4.8174944
0.12226563,5.0031309
0.12265625,5.1579962
0.12304688,5.4806967
0.1234375,6.2239704
0.12382813,6.4208212
0.12421875,6.0903273
0.12460938,5.8135481
0.125,5.5224929
