t,data
0.0,-3.9732099
0.00039062501,-2.3646207
0.00078125001,-3.0724304
0.001171875,-2.3493075
0.0015625,-3.0837245
0.001953125,-4.2981839
0.00234375,-4.5391073
0.002734375,-5.0307512
0.003125,-4.9798079
0.0035156251,-3.7737551
0.0039062501,-3.1708827
0.0042968751,-1.6914599
0.0046875001,-1.1751096
0.0050781251,-1.2754139
0.0054687501,-1.5021503
0.0058593751,-2.4852347
0.0062500001,-3.4594467
0.0066406251,-3.3876863
0.0070312501,-3.2169466
0.0074218751,-2.7829518
0.0078125001,-1.3357787
0.0082031251,-0.78529203
0.0085937501,-0.55629784
0.0089843751,-0.47528163
0.0093750001,-1.6400337
0.0097656251,-2.6075993
0.01015625,-3.1621749
0.010546875,-3.7935457
0.0109375,-3.6161895
0.011328125,-3.2598927
0.01171875,-2.0546565
0.012109375,-1.7986194
0.0125,-1.9013424
0.012890625,-1.9873395
0.01328125,-2.1724401
0.013671875,-3.3180957
0.0140625,-3.4812584
0.014453125,-3.3166919
0.01484375,-3.1685331
0.015234375,-2.6327615
0.015625,-2.1913173
0.016015625,-1.2552655
0.01640625,-1.0208666
0.016796875,-1.0195186
0.0171875,-0.87663484
0.017578125,-1.1755345
0.01796875,-1.952047
0.018359375,-1.8755318
0.01875,-1.6598803
0.019140625,-1.2700555
0.01953125,-0.57164752
0.019921875,-0.56298667
0.0203125,-0.41875562
0.020703125,0.177523
0.02109375,-0.97593117
0.021484375,-1.7303965
0.021875,-1.2315547
0.022265625,-1.6194308
0.02265625,-1.955593
0.023046875,-1.1647236
0.0234375,-1.1500423
0.023828125,-0.68590057
0.02421875,-0.40324157
0.024609375,-1.1798718
0.025,-1.0280082
0.025390625,-1.2076852
0.02578125,-1.2271938
0.026171875,-1.0572882
0.0265625,-0.88733345
0.026953125,0.098342493
0.02734375,0.12730357
0.027734375,0.170376
0.028125,0.6411798
0.028515625,0.21949708
0.02890625,0.33515048
0.029296875,0.31243572
0.0296875,0.48957473
0.030078125,0.87480795
0.03046875,0.70417494
0.030859375,1.1171012
0.03125,0.81195617
0.031640625,0.60827851
0.03203125,0.85676479
0.032421875,0.053095773
0.0328125,0.14094487
0.033203125,1.0567298
0.033593751,0.32804936
0.033984376,0.43023849
0.034375001,0.83513451
0.034765626,0.95100152
0.035156251,0.019922996
0.035546876,0.095474318
0.035937501,-0.088917904
0.036328126,-1.0785005
0.036718751,0.34433323
0.037109376,0.14588967
0.037500001,0.0097542433
0.037890626,1.4665715
0.038281251,1.7074678
0.038671876,1.0683374
0.039062501,1.1163225
0.039453126,0.74556661
0.039843751,0.12174776
0.040234376,0.20721595
0.040625001,0.0064657121
0.041015626,0.8191672
0.041406251,1.9065814
0.041796876,1.7022841
0.042187501,2.1598678
0.042578126,2.2941284
0.042968751,1.3603148
0.043359376,0.86366391
0.043750001,0.3060903
0.044140626,-0.074689649
0.044531251,-0.5735662
0.044921876,1.437966
0.045312501,1.583348
0.045703126,1.1238456
0.046093751,2.3820052
0.046484376,2.9119682
0.046875001,0.75553501
0.047265626,1.208508
0.047656251,0.39977428
0.048046876,-0.34890458
0.048437501,0.53219283
0.048828126,0.27140099
0.049218751,1.2867153
0.049609376,2.8545671
0.050000001,2.8026476
0.050390626,2.9502201
0.050781251,2.5242991
0.051171876,1.8007628
0.051562501,1.3069923
0.051953126,0.075033635
0.052343751,0.34093723
0.052734376,1.7238836
0.053125001,2.1141071
0.053515626,3.0825109
0.053906251,3.757093
0.054296876,4.0654836
0.054687501,3.4608762
0.055078126,1.7827609
0.055468751,1.5112405
0.055859376,0.88333225
0.056250001,0.25984186
0.056640626,1.7110126
0.057031251,2.3438382
0.057421876,3.5678685
0.057812501,4.2108917
0.058203126,3.6772838
0.058593751,3.38434
0.058984376,2.4354699
0.059375001,1.2597466
0.059765626,0.59095645
0.060156251,0.47026226
0.060546876,1.7199779
0.060937501,2.539752
0.061328126,3.2339745
0.061718751,4.3639398
0.062109376,4.58004
0.062500001,3.5910172
0.062890626,2.7131729
0.063281251,1.7799926
0.063671876,1.0538967
